mixture,concentration_percent,pressure_bar,wavelength_nm,experimental_ph_MeV_nm
ArN2,0.1,1,271.46,4.592004575327469
ArN2,0.1,1,271.83,4.592004575327469
ArN2,0.1,1,272.21,4.69946076463828
ArN2,0.1,1,272.58,4.69946076463828
ArN2,0.1,1,272.95,4.585360352866631
ArN2,0.1,1,273.32,4.585360352866631
ArN2,0.1,1,273.69,4.592004575327469
ArN2,0.1,1,274.06,4.592004575327469
ArN2,0.1,1,274.43,4.585360352866631
ArN2,0.1,1,274.8,4.444669580876517
ArN2,0.1,1,275.17,4.280930939468989
ArN2,0.1,1,275.54,4.280930939468989
ArN2,0.1,1,275.91,4.280930939468989
ArN2,0.1,1,276.28,4.409514695413028
ArN2,0.1,1,276.65,4.201488617849054
ArN2,0.1,1,277.02,3.6652034059558125
ArN2,0.1,1,277.39,3.6652034059558125
ArN2,0.1,1,277.76,2.8621135010038095
ArN2,0.1,1,278.13,2.6206591444253227
ArN2,0.1,1,278.5,2.465579341801905
ArN2,0.1,1,278.87,2.659669850231309
ArN2,0.1,1,279.24,2.659669850231309
ArN2,0.1,1,279.61,2.659669850231309
ArN2,0.1,1,279.98,2.659669850231309
ArN2,0.1,1,280.35,3.1809932376105117
ArN2,0.1,1,280.72,3.65011655846732
ArN2,0.1,1,281.09,3.878380058482937
ArN2,0.1,1,281.46,4.2396404409606685
ArN2,0.1,1,281.83,4.489534528270095
ArN2,0.1,1,282.2,4.680843624709388
ArN2,0.1,1,282.57,4.887703283261786
ArN2,0.1,1,282.94,4.524083295018695
ArN2,0.1,1,283.31,4.524083295018695
ArN2,0.1,1,283.68,4.239656075142681
ArN2,0.1,1,284.05,4.139473310410523
ArN2,0.1,1,284.42,4.110068089165724
ArN2,0.1,1,284.79,4.110068089165724
ArN2,0.1,1,285.16,3.914579674579154
ArN2,0.1,1,285.53,3.461496131335493
ArN2,0.1,1,285.9,3.577870924593937
ArN2,0.1,1,286.27,3.3494779160725487
ArN2,0.1,1,286.64,3.438030678230554
ArN2,0.1,1,287.01,3.420826747653618
ArN2,0.1,1,287.38,3.420826747653618
ArN2,0.1,1,287.75,3.2108908360884945
ArN2,0.1,1,288.12,3.179978781629221
ArN2,0.1,1,288.49,3.2826726096087717
ArN2,0.1,1,288.86,3.0667368654559923
ArN2,0.1,1,289.23,2.6961552000261118
ArN2,0.1,1,289.59,1.761874403795977
ArN2,0.1,1,289.96,2.168052622583218
ArN2,0.1,1,290.33,2.168052622583218
ArN2,0.1,1,290.7,2.168052622583218
ArN2,0.1,1,291.07,2.507046160981141
ArN2,0.1,1,291.44,2.295203203312036
ArN2,0.1,1,291.81,2.295203203312036
ArN2,0.1,1,292.18,1.8028307112448194
ArN2,0.1,1,292.55,2.0530176849797064
ArN2,0.1,1,292.91,2.2138123212006358
ArN2,0.1,1,293.28,2.455997839532966
ArN2,0.1,1,293.65,2.7184848919946956
ArN2,0.1,1,294.02,2.930242439738693
ArN2,0.1,1,294.39,3.2195369803300595
