mixture,kind,concentration_percent,pressure_bar,wavelength_nm,intensity_ph_MeV_nm
ArN2,model,0.1,1,377.7888944472236,12.94474302292982
ArN2,model,0.1,1,378.0390195097549,12.964568945303196
ArN2,model,0.1,1,378.28914457228615,12.926787274109582
ArN2,model,0.1,1,378.5392696348174,12.831900814530696
ArN2,model,0.1,1,378.7893946973487,12.681168035617956
ArN2,model,0.1,1,379.03951975987997,12.47657529158023
ArN2,model,0.1,1,379.2896448224112,12.220793259579015
ArN2,model,0.1,1,379.5397698849425,11.917118929345296
ArN2,model,0.1,1,379.7898949474737,11.569404905742928
ArN2,model,0.1,1,380.04002001000504,11.18197814257156
ArN2,model,0.1,1,380.2901450725363,10.75955050161237
ArN2,model,0.1,1,380.54027013506754,10.307123716176307
ArN2,model,0.1,1,380.7903951975988,9.829891428396829
ArN2,model,0.1,1,381.04052026013005,9.333140963662888
ArN2,model,0.1,1,381.29064532266136,8.82215740755873
ArN2,model,0.1,1,381.5407703851926,8.302132367948746
ArN2,model,0.1,1,381.79089544772387,7.778079548254637
ArN2,model,0.1,1,382.0410205102551,7.254758941049825
ArN2,model,0.1,1,382.2911455727864,6.73661108926709
ArN2,model,0.1,1,382.5412706353177,6.227702472119209
ArN2,model,0.1,1,382.79139569784894,5.7316826710325675
ArN2,model,0.1,1,383.0415207603802,5.2517535737043355
ArN2,model,0.1,1,383.29164582291145,4.790650496757461
ArN2,model,0.1,1,383.5417708854427,4.3506347624106665
ArN2,model,0.1,1,383.791895947974,3.9334969627970136
ArN2,model,0.1,1,384.04202101050527,3.5405698950468887
ArN2,model,0.1,1,384.2921460730365,3.172749956171155
ArN2,model,0.1,1,384.5422711355678,2.8305256514858055
ArN2,model,0.1,1,384.792396198099,2.5140117934562043
ArN2,model,0.1,1,385.04252126063034,2.2229879466585056
ArN2,model,0.1,1,385.2926463231616,1.9569397042354177
ArN2,model,0.1,1,385.54277138569284,1.7151014553242443
ArN2,model,0.1,1,385.7928964482241,1.4964994138618883
ArN2,model,0.1,1,386.04302151075535,1.2999938186310782
ArN2,model,0.1,1,386.29314657328666,1.1243193738960633
ArN2,model,0.1,1,386.5432716358179,0.9681231711436035
ArN2,model,0.1,1,386.79339669834917,0.8299995074968347
ArN2,model,0.1,1,387.0435217608805,0.7085211883250315
ArN2,model,0.1,1,387.2936468234117,0.6022670644667018
ArN2,model,0.1,1,387.543771885943,0.5098457035107931
ArN2,model,0.1,1,387.79389694847424,0.4299152261333713
ArN2,model,0.1,1,388.0440220110055,0.36119945014116833
ArN2,model,0.1,1,388.2941470735368,0.30250057533412106
ArN2,model,0.1,1,388.54427213606806,0.25270871125770344
ArN2,model,0.1,1,388.7943971985993,0.21080859793167234
ArN2,model,0.1,1,389.04452226113057,0.17588389795723824
ArN2,model,0.1,1,389.2946473236618,0.14711944878312186
ArN2,model,0.1,1,389.54477238619313,0.12380185847268828
ArN2,model,0.1,1,389.7948974487244,0.10531880937983985
ArN2,model,0.1,1,390.04502251125564,0.09115740410432938
ArN2,model,0.1,1,390.2951475737869,0.08090184931671439
ArN2,model,0.1,1,390.54527263631815,0.07423072776360591
ArN2,model,0.1,1,390.79539769884946,0.07091405906447378
ArN2,model,0.1,1,391.0455227613807,0.07081029767705488
ArN2,model,0.1,1,391.29564782391196,0.07386336332690756
ArN2,model,0.1,1,391.5457728864432,0.08009974677012281
ArN2,model,0.1,1,391.79589794897447,0.08962568332947982
ArN2,model,0.1,1,392.0460230115058,0.10262433943015441
ArN2,model,0.1,1,392.29614807403703,0.11935291448660872
ArN2,model,0.1,1,392.5462731365683,0.14013952302301408
ArN2,model,0.1,1,392.79639819909954,0.16537969087414328
ArN2,model,0.1,1,393.0465232616308,0.1955322757165033
ArN2,model,0.1,1,393.2966483241621,0.23111460699619318
ArN2,model,0.1,1,393.54677338669336,0.27269663447914355
ArN2,model,0.1,1,393.7968984492246,0.3208938789961202
ArN2,model,0.1,1,394.04702351175587,0.3763589941981496
ArN2,model,0.1,1,394.2971485742871,0.4397717747890169
ArN2,model,0.1,1,394.54727363681843,0.5118274849960751
ArN2,model,0.1,1,394.7973986993497,0.5932234308655637
ArN2,model,0.1,1,395.04752376188094,0.6846437607844605
