mixture,kind,concentration_percent,pressure_bar,wavelength_nm,intensity_ph_MeV_nm,experimental_scale,normalisation_reference
ArCF4,model,0.1,1.0,290.6453226613307,1.4710054897670206,1.0,none
ArCF4,model,0.1,1.0,290.9454727363682,1.4498220409323748,1.0,none
ArCF4,model,0.1,1.0,291.2456228114057,1.4288381128671526,1.0,none
ArCF4,model,0.1,1.0,291.5457728864432,1.4080520967990524,1.0,none
ArCF4,model,0.1,1.0,291.84592296148077,1.3874624382686613,1.0,none
ArCF4,model,0.1,1.0,292.14607303651826,1.3670676372586967,1.0,none
ArCF4,model,0.1,1.0,292.4462231115558,1.3468662482049027,1.0,none
ArCF4,model,0.1,1.0,292.7463731865933,1.3268568798900744,1.0,none
ArCF4,model,0.1,1.0,293.0465232616308,1.3070381952226726,1.0,none
ArCF4,model,0.1,1.0,293.34667333666835,1.2874089109019375,1.0,none
ArCF4,model,0.1,1.0,293.6468234117059,1.2679677969715244,1.0,none
ArCF4,model,0.1,1.0,293.9469734867434,1.2487136762639224,1.0,none
ArCF4,model,0.1,1.0,294.2471235617809,1.2296454237381773,1.0,none
ArCF4,model,0.1,1.0,294.54727363681843,1.2107619657136464,1.0,none
ArCF4,model,0.1,1.0,294.8474237118559,1.1920622790026925,1.0,none
ArCF4,model,0.1,1.0,295.1475737868935,1.173545389945405,1.0,none
ArCF4,model,0.1,1.0,295.44772386193097,1.155210373349736,1.0,none
ArCF4,model,0.1,1.0,295.7478739369685,1.1370563513404477,1.0,none
ArCF4,model,0.1,1.0,296.048024012006,1.119082492120621,1.0,none
ArCF4,model,0.1,1.0,296.3481740870435,1.1012880086494623,1.0,none
ArCF4,model,0.1,1.0,296.64832416208105,1.0836721572404542,1.0,none
ArCF4,model,0.1,1.0,296.94847423711855,1.066234236083929,1.0,none
ArCF4,model,0.1,1.0,297.2486243121561,1.048973583698277,1.0,none
ArCF4,model,0.1,1.0,297.5487743871936,1.0318895773142247,1.0,none
ArCF4,model,0.1,1.0,297.84892446223114,1.0149816311965474,1.0,none
ArCF4,model,0.1,1.0,298.14907453726863,0.9982491949078807,1.0,none
ArCF4,model,0.1,1.0,298.4492246123061,0.9816917515191581,1.0,none
ArCF4,model,0.1,1.0,298.7493746873437,0.9653088157714759,1.0,none
ArCF4,model,0.1,1.0,299.0495247623812,0.9490999321941036,1.0,none
ArCF4,model,0.1,1.0,299.3496748374187,0.9330646731834448,1.0,none
ArCF4,model,0.1,1.0,299.6498249124562,0.9172026370477988,1.0,none
ArCF4,model,0.1,1.0,299.94997498749376,0.9015134460227996,1.0,none
ArCF4,model,0.1,1.0,300.25012506253125,0.8859967442623822,1.0,none
ArCF4,model,0.1,1.0,300.5502751375688,0.8706521958101119,1.0,none
ArCF4,model,0.1,1.0,300.8504252126063,0.8554794825557963,1.0,none
ArCF4,model,0.1,1.0,301.15057528764385,0.8404783021820944,1.0,none
ArCF4,model,0.1,1.0,301.45072536268134,0.8256483661060028,1.0,none
ArCF4,model,0.1,1.0,301.75087543771883,0.8109893974198399,1.0,none
ArCF4,model,0.1,1.0,302.0510255127564,0.796501128836466,1.0,none
ArCF4,model,0.1,1.0,302.35117558779393,0.7821833006432786,1.0,none
ArCF4,model,0.1,1.0,302.6513256628314,0.768035658669487,1.0,none
ArCF4,model,0.1,1.0,302.9514757378689,0.754057952271063,1.0,none
ArCF4,model,0.1,1.0,303.25162581290647,0.7402499323376799,1.0,none
ArCF4,model,0.1,1.0,303.55177588794396,0.7266113493258143,1.0,none
ArCF4,model,0.1,1.0,303.8519259629815,0.7131419513220297,1.0,none
ArCF4,model,0.1,1.0,304.152076038019,0.699841482140435,1.0,none
ArCF4,model,0.1,1.0,304.45222611305655,0.6867096794580152,1.0,none
ArCF4,model,0.1,1.0,304.75237618809405,0.6737462729915533,1.0,none
ArCF4,model,0.1,1.0,305.05252626313154,0.6609509827195371,1.0,none
ArCF4,model,0.1,1.0,305.3526763381691,0.6483235171524315,1.0,none
ArCF4,model,0.1,1.0,305.65282641320664,0.6358635716544371,1.0,none
ArCF4,model,0.1,1.0,305.95297648824413,0.6235708268196964,1.0,none
ArCF4,model,0.1,1.0,306.2531265632816,0.611444946905759,1.0,none
ArCF4,model,0.1,1.0,306.5532766383192,0.5994855783269244,1.0,none
ArCF4,model,0.1,1.0,306.85342671335667,0.5876923482098791,1.0,none
ArCF4,model,0.1,1.0,307.1535767883942,0.576064863013849,1.0,none
